,transaction_description,transaction_category,transaction_value,transaction_score
0,Questa è una mancia pagata per una corsa Uber.,Transportation / Extra Transport,4,0
1,Viaggio Uber in orario notturno,Transportation / Extra Transport,11.8,3
2,Costi di rideshare per due corse in orario lavorativo.,Rent & Utilities,20.64,3
3,Costi di rideshare per due corse in orario serale.,Transportation / Extra Transport,20.64,1
4,Costo noleggio auto.,Medical,91.24,2
5,Camera d'albergo per una notte al matrimonio di un amico.,Rent & Utilities,195,2
6,Rifronimento auto personale,Transportation / Gas,21.39,3
7,Pagamento per corsa in auto di tipo carshare Lyft.,Transportation / Extra Transport,15.4,1
8,Tasse per il passaporto.,Travel,130,3
9,Acquisto online di biglietto ferroviario per lavoro,Transportation / Extra Transport,108,3
10,"Acquisto online di biglietto ferroviario per visita ad Amtrak, viaggio di andata e ritorno.",Transportation / Extra Transport,108,1
11,Ho comprato un biglietto aereo .,Transportation / Extra Transport,616.24,3
12,Tariffe di parcheggio.,Transportation / Parking,19,3
13,Pagamento sosta parcheggio,Transportation / Parking,6.15,3
14,Stazione di servizio.,Transportation / Gas,10.55,3
15,Pagamento del conto dell'hotel fascia media,Rent & Utilities,310.1,2
16,Pagamento del conto dell'hotel fascia alta,Rent & Utilities,610.1,1
17,Ricarica della carta dell'autobus.,Transportation / Extra Transport,20,3
18,Ricarica del conto Sun Pass (pedaggi autostradali).,Transportation / Automobile maintenance and fees,10,3
19,Pagamento viaggio Uber.,Transportation / Extra Transport,18.42,3
20,Questo è stato il costo di due corse Lyft in Florida.,Transportation / Extra Transport,93.45,1
21,Avevo bisogno di usare Uber per tornare a casa.,Transportation / Extra Transport,18.95,1
22,Acquisto di $20 di benzina da Exxon.,Transportation / Gas,20,1
23,Questo era per farmaci su prescrizione.,Medical,11.99,1
24,Ho fatto un test rapido per il Covid.,Medical,54.36,1
25,Pagamento su carta di credito.,Loans,22,1
26,Ho pagato il mio conto telefonico.,Rent & Utilities,100,1
27,Pagamento bolletta inviato tramite assegno bancario al proprietario di casa per l'affitto.,Rent & Utilities,550,3
28,Questo è il nostro pagamento del mutuo!,Loans,"2,182.38",1
29,Ho messo un po' di soldi verso il conto internet.,Rent & Utilities,40,1
30,Pagamento mensile elettricità per appartamento.,Rent & Utilities,116.65,1
31,Pagamento effettuato ad Amex per saldare una fattura della carta di credito.,Loans,"1,385.11",1
32,Ho pagato la bolletta dell'acqua.,Rent & Utilities,53.4,1
33,Ho comprato benzina.,Transportation / Gas,25.07,1
34,Bolletta annuale fognature.,Rent & Utilities,166.44,1
35,Ho pagato il mio conto internet.,Rent & Utilities,160,1
36,Acquisto benzina stazione di servizio.,Transportation / Gas,37.91,1
37,Bolletta delle utenze idriche.,Rent & Utilities,103.8,1
38,Bolletta del cellulare.,Rent & Utilities,145.81,1
39,Questo è per un lavaggio auto.,Transportation / Automobile maintenance and fees,11,1
40,Pagamento effettuato a un garage per il MOT (certificato di idoneità alla guida nel Regno Unito) della mia auto.,Transportation / Automobile maintenance and fees,35,1
41,Pagamento online bolletta dell'acqua.,Rent & Utilities,70,1
42,Ho pagato il mio conto telefonico (Xfinity Mobile).,Rent & Utilities,112.48,1
43,Ho fatto il pieno di benzina al mio furgone.,Transportation / Gas,26.45,1
44,Questo era per la mia registrazione del veicolo.,Transportation / Automobile maintenance and fees,73.25,1
45,Questo era per la mia registrazione del veicolo.,Transportation / Automobile maintenance and fees,73.25,1
46,Acquisto di benzina.,Transportation / Gas,16.54,1
47,Ho fatto un pagamento sul mio conto telefonico.,Rent & Utilities,200,1
48,Questo è per alcuni tergicristalli di ricambio per la mia auto.,Transportation / Automobile maintenance and fees,20,1
49,Questo è per la benzina della mia auto.,Transportation / Gas,50.07,1
50,Ho comprato benzina alla stazione di servizio.,Transportation / Gas,30.05,1
51,Rifornimento di benzina per l'auto.,Transportation / Gas,54.84,1
52,Bolletta dell'acqua.,Rent & Utilities,70.24,1
53,Uso mensile del cellulare.,Rent & Utilities,18.03,1
54,Pagamento per servizi auto mensili Onstar.,Transportation / Automobile maintenance and fees,39.99,1
55,Pagamento mensile del telefono cellulare per piano dati a consumo.,Rent & Utilities,21.99,1
56,Questo è per il mio pagamento del telefono cellulare.,Rent & Utilities,112.48,1
57,Ho pagato il mio conto telefonico.,Rent & Utilities,112.46,1
58,Pagamento del cellulare.,Rent & Utilities,35,1
59,Pagamento a Verizon per il servizio internet.,Rent & Utilities,47.23,1
60,Questo è per la mia bolletta internet.,Rent & Utilities,160,1
61,Bolletta del telefono cellulare.,Rent & Utilities,7.5,1
62,Ho comprato un paio di dollari di benzina.,Transportation / Gas,9.92,1
63,Questo era per il controllo della mia auto.,Transportation / Automobile maintenance and fees,25.5,1
64,Bolletta internet mensile per Xfinity/Comcast.,Rent & Utilities,64.87,1
65,Ho pagato il mio affitto mensile dell'appartamento alla società di gestione immobiliare.,Rent & Utilities,945,3
66,Pagamento carta di credito.,Loans,920.96,1
67,Questo è un addebito da un dispensario di cannabis.,Medical,88.5,1
68,Stavo pagando la mia bolletta elettrica.,Rent & Utilities,279.8,1
69,Appuntamento dal dottore.,Medical,160,1
70,Bolletta combinata di elettricità e gas.,Rent & Utilities,122,1
71,Questo è il pagamento dei costi di gestione della carta di credito.,Loans,190.25,1
72,Pagamento carta di credito.,Loans,103,1
73,Pagamento carta di credito Chase.,Loans,20.5,1
74,Ho comprato delle pastiglie per la tosse al duty free all'aeroporto.,Medical,9.86,1
75,Ho pagato la mia bolletta elettrica.,Rent & Utilities,144.9,1
76,Stavo effettuando un pagamento verso il mio saldo della carta di credito Capital One.,Loans,100,1
77,Ho pagato la mia bolletta internet.,Rent & Utilities,205.37,1
78,Pagato per prescrizioni da consegnare a casa mia.,Medical,20.25,1
79,Ho usato PayPal per pagare un pagamento a rate sulla mia bolletta elettrica.,Rent & Utilities,82.6,1
80,Pagamento carta di credito.,Loans,91,1
81,Ho effettuato un pagamento su un prestito a rate che era per un grosso acquisto.,Loans,101.7,1
82,Pagato la bolletta elettrica.,Rent & Utilities,37.99,1
83,Pagamento bolletta cellulare.,Rent & Utilities,30,1
84,Questa è la mia bolletta elettrica/energetica.,Rent & Utilities,57.39,1
85,Medicina.,Medical,28.88,3
86,Acquisto presso una compagnia di forniture mediche.,Medical,31.2,3
87,costi necessari non specificati una tantum,Loans,63.07,3
88,Ho pagato parte della bolletta elettrica.,Rent & Utilities,52.13,3
89,Questo è l'assicurazione per animali domestici del nostro cane!.,Medical,35.95,3
90,Questo era per farmaci su prescrizione.,Medical,11.99,3
91,Pagamento online del mutuo.,Loans,668.29,3
92,Pagamento del prestito.,Loans,10.5,3
93,Pagamento bolletta energetica.,Rent & Utilities,82.6,3
95,Ho pagato la mia bolletta internet.,Rent & Utilities,75.55,3
96,Costi operativi/ di infrastruttura ricorrenti riferiti al lavoro,Loans,29.52,3
97,Questa è la mia bolletta internet.,Rent & Utilities,49.99,3
98,Pagamento del mutuo.,Loans,900,3
99,Pagamento carta di credito. Costi necessari non specificati una tantum,Loans,35,3
100,Copagamenti per visite mediche.,Medical,25,3
101,Pagamento carta di credito.,Loans,100,3
102,Pagamento carta di credito.,Loans,6.25,3
103,Ho dovuto pagare per un test covid.,Medical,149,3
104,Ho saldato parte della mia bolletta internet.,Rent & Utilities,186.01,3
105,Ho comprato della crema muscolare in farmacia.,Medical,16.94,2
106,Importo non coperto dall'assicurazione sanitaria e dovuto al medico di base.,Medical,0.65,3
107,Pagamento debiti verso banche.,Loans,158.59,3
108,Pagamento del mutuo.,Loans,842.63,3
109,Questa è la mia bolletta elettrica.,Rent & Utilities,93.15,3
110,Pagamento carta di credito. costi necessari non specificati una tantum,Loans,792.08,3
111,Pagamento su prestito Affirm.,Loans,12.57,3
112,Questa è la mia assicurazione dentale!.,Medical,12.99,2
113,Ho pagato il mio costo mensile sulla bolletta elettrica.,Rent & Utilities,63.01,3
114,Acquisto fatto in un dispensario.,Medical,38.5,3
115,Pagamento bolletta medica.,Medical,16.47,3
116,Debito generale ricorrente verso banche,Loans,560,3
117,Ho pagato per alcuni farmaci.,Medical,20.64,3
118,Bolletta elettrica.,Rent & Utilities,270.43,3
119,Questo è per la fornitura semestrale di medicinali antiparassitari per il mio cane.,Medical,148.49,2
120,Ho effettuato un pagamento verso una bolletta medica.,Medical,29.26,3
121,Pagamento carta di credito. costi necessari non specificati una tantum,Loans,7.41,3
122,Pagamento carta di credito Citi.,Loans,37.5,3
123,Pagamento costi carta di credito ricorrente ,Loans,113.83,3
124,Denaro pagato per le tasse scolastiche di mia figlia.,General Services,"1,181.92",3
125,Pagamento automatico all'IRS per le tasse dovute.,Government + Non-Profit / Taxes,600,3
127,Questo è il nostro pagamento della carta di credito!.,Loans,198.57,3
